Timestamp,In ,Out
2020-11-20T05:51:15+00:00,12532.86,106342.91
2020-11-20T05:51:30+00:00,17600.268,164827.366
2020-11-20T05:51:45+00:00,18867.12,179448.48
2020-11-20T05:52:00+00:00,18867.12,179448.48
2020-11-20T05:52:15+00:00,7758.496,211175.832
2020-11-20T05:52:30+00:00,4981.34,219107.67
2020-11-20T05:52:45+00:00,2641.556,82685.998
2020-11-20T05:53:00+00:00,2056.61,48580.58
2020-11-20T05:53:15+00:00,2056.61,48580.58
2020-11-20T05:53:30+00:00,2522.9546667,68214.488667
2020-11-20T05:53:45+00:00,2594.7,71235.09
2020-11-20T05:54:00+00:00,2594.7,71235.09
2020-11-20T05:54:15+00:00,1636.412,21948.866
2020-11-20T05:54:30+00:00,1396.84,9627.31
2020-11-20T05:54:45+00:00,5534.52,229574.39
2020-11-20T05:55:00+00:00,6568.94,284561.16
2020-11-20T05:55:15+00:00,6568.94,284561.16
2020-11-20T05:55:30+00:00,2537.198,84293.95
2020-11-20T05:55:45+00:00,1071.11,11469.51
2020-11-20T05:56:00+00:00,5324.9786667,48845.845333
2020-11-20T05:56:15+00:00,6871.84,62437.24
2020-11-20T05:56:30+00:00,6871.84,62437.24
2020-11-20T05:56:45+00:00,12842.31,294121.176
2020-11-20T05:57:00+00:00,15013.39,378369.88
2020-11-20T05:57:15+00:00,15013.39,378369.88
2020-11-20T05:57:30+00:00,7325.0353333,153512.41933
2020-11-20T05:57:45+00:00,4529.27,71746.07
2020-11-20T05:58:00+00:00,4529.27,71746.07
2020-11-20T05:58:15+00:00,3149.6793333,86543.6
2020-11-20T05:58:30+00:00,2648.01,91924.52
2020-11-20T05:58:45+00:00,5326.354,262187.376
2020-11-20T05:59:00+00:00,5995.94,304753.09
2020-11-20T05:59:15+00:00,5995.94,304753.09
2020-11-20T05:59:30+00:00,3333.654,136955.71667
2020-11-20T05:59:45+00:00,2365.55,75938.49
2020-11-20T06:00:00+00:00,3134.6553333,117978.34133
2020-11-20T06:00:15+00:00,3414.33,133265.56
